,จังหวัด,จำนวนสมาชิกสภาผู้แทนราษฎร,จำนวนเขตเลือกตั้ง,ท้องที่ที่ประกอบเป็นเขตเลือกตั้ง,ลำดับที่,เขตเลือกตั้งที่,interior,exterior,subinterior
750,นครปฐม,5,5,สามพราน,52,5,,ตลาดจินดา,
751,นครปฐม,5,5,สามพราน,52,5,,คลองจินดา,
752,นครปฐม,5,5,สามพราน,52,5,,บางช้าง,
753,พิษณุโลก,5,5,เมืองพิษณุโลก,53,1,ในเมือง,,
754,พิษณุโลก,5,5,เมืองพิษณุโลก,53,1,อรัญญิก,,
755,พิษณุโลก,5,5,เมืองพิษณุโลก,53,1,วัดจันทร์,,
756,พิษณุโลก,5,5,เมืองพิษณุโลก,53,1,บ้านคลอง,,
757,พิษณุโลก,5,5,เมืองพิษณุโลก,53,1,พลายชุมพล,,
758,พิษณุโลก,5,5,เมืองพิษณุโลก,53,1,ท่าทอง,,
759,พิษณุโลก,5,5,เมืองพิษณุโลก,53,1,บึงพระ,,
760,พิษณุโลก,5,5,เมืองพิษณุโลก,53,1,วัดพริก,,
761,พิษณุโลก,5,5,เมืองพิษณุโลก,53,1,วังน้ำคู้,,
762,พิษณุโลก,5,5,พรหมพิราม,53,2,,,
763,พิษณุโลก,5,5,เมืองพิษณุโลก,53,2,ไผ่ขอดอน,,
764,พิษณุโลก,5,5,เมืองพิษณุโลก,53,2,จอมทอง,,
765,พิษณุโลก,5,5,เมืองพิษณุโลก,53,2,มะขามสูง,,
766,พิษณุโลก,5,5,เมืองพิษณุโลก,53,2,ปากโทก,,
767,พิษณุโลก,5,5,เมืองพิษณุโลก,53,2,บ้านกร่าง,,
768,พิษณุโลก,5,5,เมืองพิษณุโลก,53,2,หัวรอ,,
769,พิษณุโลก,5,5,เมืองพิษณุโลก,53,2,สมอแข,,
770,พิษณุโลก,5,5,เมืองพิษณุโลก,53,2,ดอนทอง,,
771,พิษณุโลก,5,5,เมืองพิษณุโลก,53,2,บ้านป่า,,
772,พิษณุโลก,5,5,วังทอง,53,3,,,
773,พิษณุโลก,5,5,เนินมะปราง,53,3,,,
774,พิษณุโลก,5,5,บางระกำ,53,4,,,
775,พิษณุโลก,5,5,บางกระทุ่ม,53,4,,,
776,พิษณุโลก,5,5,เมืองพิษณุโลก,53,4,งิ้วงาม,,
777,พิษณุโลก,5,5,เมืองพิษณุโลก,53,4,ท่าโพธิ์,,
778,พิษณุโลก,5,5,นครไทย,53,5,,,
779,พิษณุโลก,5,5,วัดโบสถ์,53,5,,,
780,พิษณุโลก,5,5,ชาติตระการ,53,5,,,
781,เพชรบูรณ์,5,5,เมืองเพชรบูรณ์,54,1,เทศบาลเมืองเพชรบูรณ์,,
782,เพชรบูรณ์,5,5,เขาค้อ,54,1,,,
783,เพชรบูรณ์,5,5,หล่มสัก,54,1,น้ำชุน,,
784,เพชรบูรณ์,5,5,หล่มสัก,54,1,บุ่งน้ำเต้า,,
785,เพชรบูรณ์,5,5,หล่มสัก,54,1,หนองไขว่,,
786,เพชรบูรณ์,5,5,หล่มสัก,54,1,น้ำก้อ,,
787,เพชรบูรณ์,5,5,หล่มสัก,54,1,บุ่งคล้า,,
788,เพชรบูรณ์,5,5,หล่มเก่า,54,2,,,
789,เพชรบูรณ์,5,5,น้ำหนาว,54,2,,,
790,เพชรบูรณ์,5,5,หล่มสัก,54,2,,น้ำชุน,
791,เพชรบูรณ์,5,5,หล่มสัก,54,2,,บุ่งน้ำเต้า,
792,เพชรบูรณ์,5,5,หล่มสัก,54,2,,หนองไขว่,
793,เพชรบูรณ์,5,5,หล่มสัก,54,2,,น้ำก้อ,
794,เพชรบูรณ์,5,5,หล่มสัก,54,2,,บุ่งคล้า,
795,เพชรบูรณ์,5,5,ชนแดน,54,3,,,
796,เพชรบูรณ์,5,5,วังโป่ง,54,3,,,
797,เพชรบูรณ์,5,5,เมืองเพชรบูรณ์,54,3,เทศบาลตำบลวังชมภู,,
798,เพชรบูรณ์,5,5,เมืองเพชรบูรณ์,54,3,วังชมภู,,
799,เพชรบูรณ์,5,5,เมืองเพชรบูรณ์,54,3,ห้วยสะแก,,
800,เพชรบูรณ์,5,5,เมืองเพชรบูรณ์,54,3,นายม,,
801,เพชรบูรณ์,5,5,เมืองเพชรบูรณ์,54,3,บ้านโตก,,
802,เพชรบูรณ์,5,5,เมืองเพชรบูรณ์,54,3,น้ำร้อน,,
803,เพชรบูรณ์,5,5,เมืองเพชรบูรณ์,54,3,ชอนไพร,,
804,เพชรบูรณ์,5,5,เมืองเพชรบูรณ์,54,3,ตะเบาะ,,
805,เพชรบูรณ์,5,5,เมืองเพชรบูรณ์,54,3,นาป่า,,
806,เพชรบูรณ์,5,5,บึงสามพัน,54,4,,,
807,เพชรบูรณ์,5,5,หนองไผ่,54,4,,,
808,เพชรบูรณ์,5,5,เมืองเพชรบูรณ์,54,4,ระวิง,,
809,เพชรบูรณ์,5,5,วิเชียรบุรี,54,4,สามแยก,,
810,เพชรบูรณ์,5,5,ศรีเทพ,54,5,,,
811,เพชรบูรณ์,5,5,วิเชียรบุรี,54,5,,สามแยก,
812,มหาสารคาม,5,5,เมืองมหาสารคาม,55,1,,,
813,มหาสารคาม,5,5,แกดำ,55,1,,,
814,มหาสารคาม,5,5,โกสุมพิสัย,55,1,แก้งแก,,
815,มหาสารคาม,5,5,วาปีปทุม,55,2,,,
816,มหาสารคาม,5,5,บรบือ,55,2,,วังไชย,
817,มหาสารคาม,5,5,บรบือ,55,2,,โนนแดง,
818,มหาสารคาม,5,5,บรบือ,55,2,,หนองคูขาด,
819,มหาสารคาม,5,5,บรบือ,55,2,,โนนราษี,
820,มหาสารคาม,5,5,พยัคฆภูมิพิสัย,55,3,,,
821,มหาสารคาม,5,5,ยางสีสุราช,55,3,,,
822,มหาสารคาม,5,5,นาดูน,55,3,,,
823,มหาสารคาม,5,5,นาเชือก,55,3,,สำโรง,
824,มหาสารคาม,5,5,นาเชือก,55,3,,หนองแดง,
825,มหาสารคาม,5,5,นาเชือก,55,3,,ปอพาน,
826,มหาสารคาม,5,5,นาเชือก,55,3,,หนองเม็ก,
827,มหาสารคาม,5,5,นาเชือก,55,3,,หนองเรือ,
828,มหาสารคาม,5,5,กุดรัง,55,4,,,
829,มหาสารคาม,5,5,นาเชือก,55,4,สำโรง,,
830,มหาสารคาม,5,5,นาเชือก,55,4,หนองแดง,,
831,มหาสารคาม,5,5,นาเชือก,55,4,ปอพาน,,
832,มหาสารคาม,5,5,นาเชือก,55,4,หนองเม็ก,,
833,มหาสารคาม,5,5,นาเชือก,55,4,หนองเรือ,,
834,มหาสารคาม,5,5,โกสุมพิสัย,55,4,หัวขวาง,,
835,มหาสารคาม,5,5,โกสุมพิสัย,55,4,ยางน้อย,,
836,มหาสารคาม,5,5,โกสุมพิสัย,55,4,วังยาว,,
837,มหาสารคาม,5,5,โกสุมพิสัย,55,4,เขวาไร่,,
838,มหาสารคาม,5,5,โกสุมพิสัย,55,4,แพง,,
839,มหาสารคาม,5,5,โกสุมพิสัย,55,4,หนองเหล็ก,,
840,มหาสารคาม,5,5,โกสุมพิสัย,55,4,เหล่า,,
841,มหาสารคาม,5,5,โกสุมพิสัย,55,4,หนองบอน,,
842,มหาสารคาม,5,5,โกสุมพิสัย,55,4,โพนงาม,,
843,มหาสารคาม,5,5,โกสุมพิสัย,55,4,ยางท่าแจ้ง,,
844,มหาสารคาม,5,5,โกสุมพิสัย,55,4,หนองกุงสวรรค์,,
845,มหาสารคาม,5,5,โกสุมพิสัย,55,4,ดอนกลาง,,
846,มหาสารคาม,5,5,บรบือ,55,4,วังไชย,,
847,มหาสารคาม,5,5,บรบือ,55,4,โนนแดง,,
848,มหาสารคาม,5,5,บรบือ,55,4,หนองคูขาด,,
849,มหาสารคาม,5,5,บรบือ,55,4,โนนราษี,,
850,มหาสารคาม,5,5,กันทรวิชัย,55,5,,,
851,มหาสารคาม,5,5,เชียงยืน,55,5,,,
852,มหาสารคาม,5,5,ชื่นชม,55,5,,,
853,มหาสารคาม,5,5,โกสุมพิสัย,55,5,หนองบัว,,
854,มหาสารคาม,5,5,โกสุมพิสัย,55,5,แห่ใต้,,
855,มหาสารคาม,5,5,โกสุมพิสัย,55,5,เลิงใต้,,
856,มหาสารคาม,5,5,โกสุมพิสัย,55,5,เขื่อน,,
857,ราชบุรี,5,5,เมืองราชบุรี,56,1,,น้ำพุ,
858,ราชบุรี,5,5,เมืองราชบุรี,56,1,,ห้วยไผ่,
859,ราชบุรี,5,5,เมืองราชบุรี,56,1,,ดอนแร่,
860,ราชบุรี,5,5,เมืองราชบุรี,56,1,,อ่างทอง,
861,ราชบุรี,5,5,เมืองราชบุรี,56,2,น้ำพุ,,
862,ราชบุรี,5,5,เมืองราชบุรี,56,2,ห้วยไผ่,,
863,ราชบุรี,5,5,เมืองราชบุรี,56,2,ดอนแร่,,
864,ราชบุรี,5,5,เมืองราชบุรี,56,2,อ่างทอง,,
865,ราชบุรี,5,5,ปากท่อ,56,2,,,
866,ราชบุรี,5,5,สวนผึ้ง,56,2,,,
867,ราชบุรี,5,5,วัดเพลง,56,2,,,
868,ราชบุรี,5,5,บ้านคา,56,2,,,
869,ราชบุรี,5,5,โพธาราม,56,3,,บ้านฆ้อง,
870,ราชบุรี,5,5,โพธาราม,56,3,,บ้านสิงห์,
871,ราชบุรี,5,5,โพธาราม,56,3,,ดอนทราย,
872,ราชบุรี,5,5,จอมบึง,56,3,,,
873,ราชบุรี,5,5,บ้านโป่ง,56,4,,,
874,ราชบุรี,5,5,ดำเนินสะดวก,56,5,,,
875,ราชบุรี,5,5,บางแพ,56,5,,,
876,ราชบุรี,5,5,โพธาราม,56,5,บ้านฆ้อง,,
877,ราชบุรี,5,5,โพธาราม,56,5,บ้านสิงห์,,
878,ราชบุรี,5,5,โพธาราม,56,5,ดอนทราย,,
879,ชัยภูมิ,6,6,เมืองชัยภูมิ,57,1,,,
880,ชัยภูมิ,6,6,จัตุรัส,57,2,,,
881,ชัยภูมิ,6,6,เนินสง่า,57,2,,,
882,ชัยภูมิ,6,6,บ้านเขว้า,57,2,,,
883,ชัยภูมิ,6,6,หนองบัวระเหว,57,2,,,
884,ชัยภูมิ,6,6,เทพสถิต,57,3,,,
885,ชัยภูมิ,6,6,บำเหน็จณรงค์,57,3,,,
886,ชัยภูมิ,6,6,ภักดีชุมพล,57,3,,,
887,ชัยภูมิ,6,6,ซับใหญ่,57,3,,,
888,ชัยภูมิ,6,6,เกษตรสมบูรณ์,57,4,,,
889,ชัยภูมิ,6,6,หนองบัวแดง,57,4,,,
890,ชัยภูมิ,6,6,ภูเขียว,57,5,,,
891,ชัยภูมิ,6,6,คอนสาร,57,5,,,
892,ชัยภูมิ,6,6,แก้งคร้อ,57,6,,,
893,ชัยภูมิ,6,6,คอนสวรรค์,57,6,,,
894,ชัยภูมิ,6,6,บ้านแท่น,57,6,,,
895,นครสวรรค์,6,6,เมืองนครสวรรค์,58,1,นครสวรรค์ตก,,เทศบาลนครนครสวรรค์
896,นครสวรรค์,6,6,เมืองนครสวรรค์,58,1,นครสวรรค์ออก,,เทศบาลนครนครสวรรค์
897,นครสวรรค์,6,6,เมืองนครสวรรค์,58,1,แควใหญ่,,เทศบาลนครนครสวรรค์
898,นครสวรรค์,6,6,เมืองนครสวรรค์,58,1,ปากน้ำโพ,,
899,นครสวรรค์,6,6,เมืองนครสวรรค์,58,1,วัดไทร,,
900,นครสวรรค์,6,6,เมืองนครสวรรค์,58,1,บางม่วง,,
901,นครสวรรค์,6,6,เมืองนครสวรรค์,58,1,บ้านมะเกลือ,,
902,นครสวรรค์,6,6,เมืองนครสวรรค์,58,1,บ้านแก่ง,,
903,นครสวรรค์,6,6,เมืองนครสวรรค์,58,1,หนองกรด,,
904,นครสวรรค์,6,6,เมืองนครสวรรค์,58,1,หนองกระโดน,,
905,นครสวรรค์,6,6,เมืองนครสวรรค์,58,1,บึงเสนาท,,
906,นครสวรรค์,6,6,เก้าเลี้ยว,58,1,มหาโพธิ,,
907,นครสวรรค์,6,6,ลาดยาว,58,1,หนองยาว,,
908,นครสวรรค์,6,6,เมืองนครสวรรค์,58,2,,นครสวรรค์ตก,เทศบาลนครนครสวรรค์
909,นครสวรรค์,6,6,เมืองนครสวรรค์,58,2,,นครสวรรค์ออก,เทศบาลนครนครสวรรค์
910,นครสวรรค์,6,6,เมืองนครสวรรค์,58,2,,แควใหญ่,เทศบาลนครนครสวรรค์
911,นครสวรรค์,6,6,เมืองนครสวรรค์,58,2,,ปากน้ำโพ,
912,นครสวรรค์,6,6,เมืองนครสวรรค์,58,2,,วัดไทร,
913,นครสวรรค์,6,6,เมืองนครสวรรค์,58,2,,บางม่วง,
914,นครสวรรค์,6,6,เมืองนครสวรรค์,58,2,,บ้านมะเกลือ,
915,นครสวรรค์,6,6,เมืองนครสวรรค์,58,2,,บ้านแก่ง,
916,นครสวรรค์,6,6,เมืองนครสวรรค์,58,2,,หนองกรด,
917,นครสวรรค์,6,6,เมืองนครสวรรค์,58,2,,หนองกระโดน,
918,นครสวรรค์,6,6,เมืองนครสวรรค์,58,2,,บึงเสนาท,
919,นครสวรรค์,6,6,พยุหะคีรี,58,2,,,
920,นครสวรรค์,6,6,โกรกพระ,58,2,,,
921,นครสวรรค์,6,6,ชุมแสง,58,2,ทับกฤชใต้,,
922,นครสวรรค์,6,6,บรรพตพิสัย,58,3,,,
923,นครสวรรค์,6,6,ชุมแสง,58,3,,ทับกฤชใต้,
924,นครสวรรค์,6,6,เก้าเลี้ยว,58,3,,มหาโพธิ,
925,นครสวรรค์,6,6,หนองบัว,58,4,,,
926,นครสวรรค์,6,6,ไพศาลี,58,4,,ตะคร้อ,
927,นครสวรรค์,6,6,ไพศาลี,58,4,,สำโรงชัย,
928,นครสวรรค์,6,6,ไพศาลี,58,4,,โพธิ์ประสาท,
929,นครสวรรค์,6,6,ท่าตะโก,58,4,,,
930,นครสวรรค์,6,6,ตาคลี,58,5,,,
931,นครสวรรค์,6,6,ตากฟ้า,58,5,,,
932,นครสวรรค์,6,6,ไพศาลี,58,5,ตะคร้อ,,
933,นครสวรรค์,6,6,ไพศาลี,58,5,สำโรงชัย,,
934,นครสวรรค์,6,6,ไพศาลี,58,5,โพธิ์ประสาท,,
935,นครสวรรค์,6,6,ลาดยาว,58,6,,หนองยาว,
936,นครสวรรค์,6,6,แม่วงก์,58,6,,,
937,นครสวรรค์,6,6,แม่เปิน,58,6,,,
938,นครสวรรค์,6,6,ชุมตาบง,58,6,,,
939,นนทบุรี,6,6,เมืองนนทบุรี,59,1,ท่าทราย,,
940,นนทบุรี,6,6,เมืองนนทบุรี,59,1,บางกระสอ,,
941,นนทบุรี,6,6,เมืองนนทบุรี,59,1,บางเขน,,
942,นนทบุรี,6,6,ปากเกร็ด,59,1,บางพลับ,,
943,นนทบุรี,6,6,ปากเกร็ด,59,1,อ้อมเกร็ด,,
944,นนทบุรี,6,6,ปากเกร็ด,59,1,เกาะเกร็ด,,
945,นนทบุรี,6,6,ปากเกร็ด,59,1,ท่าอิฐ,,
946,นนทบุรี,6,6,เมืองนนทบุรี,59,2,,ท่าทราย,
947,นนทบุรี,6,6,เมืองนนทบุรี,59,2,,บางกระสอ,
948,นนทบุรี,6,6,เมืองนนทบุรี,59,2,,บางเขน,
949,นนทบุรี,6,6,บางกรวย,59,3,,,
950,นนทบุรี,6,6,บางใหญ่,59,3,บ้านใหม่,,
951,นนทบุรี,6,6,บางใหญ่,59,3,บางแม่นาง,,
952,นนทบุรี,6,6,บางใหญ่,59,3,บางใหญ่,,
953,นนทบุรี,6,6,ปากเกร็ด,59,4,,บางพลับ,
954,นนทบุรี,6,6,ปากเกร็ด,59,4,,อ้อมเกร็ด,
955,นนทบุรี,6,6,ปากเกร็ด,59,4,,เกาะเกร็ด,
956,นนทบุรี,6,6,ปากเกร็ด,59,4,,ท่าอิฐ,
957,นนทบุรี,6,6,บางบัวทอง,59,5,พิมลราช,,
958,นนทบุรี,6,6,บางบัวทอง,59,5,โสนลอย,,
959,นนทบุรี,6,6,บางบัวทอง,59,5,บางรักพัฒนา,,
960,นนทบุรี,6,6,บางบัวทอง,59,5,บางรักใหญ่,,
961,นนทบุรี,6,6,บางใหญ่,59,5,,บ้านใหม่,
962,นนทบุรี,6,6,บางใหญ่,59,5,,บางแม่นาง,
963,นนทบุรี,6,6,บางใหญ่,59,5,,บางใหญ่,
964,นนทบุรี,6,6,ไทรน้อย,59,6,,,
965,นนทบุรี,6,6,บางบัวทอง,59,6,,พิมลราช,
966,นนทบุรี,6,6,บางบัวทอง,59,6,,โสนลอย,
967,นนทบุรี,6,6,บางบัวทอง,59,6,,บางรักพัฒนา,
968,นนทบุรี,6,6,บางบัวทอง,59,6,,บางรักใหญ่,
969,ปทุมธานี,6,6,เมืองปทุมธานี,60,1,บางปรอก,,
970,ปทุมธานี,6,6,เมืองปทุมธานี,60,1,บ้านฉาง,,
971,ปทุมธานี,6,6,เมืองปทุมธานี,60,1,บางขะแยง,,
972,ปทุมธานี,6,6,เมืองปทุมธานี,60,1,บางคูวัด,,
973,ปทุมธานี,6,6,เมืองปทุมธานี,60,1,บางหลวง,,
974,ปทุมธานี,6,6,เมืองปทุมธานี,60,1,บางเดื่อ,,
975,ปทุมธานี,6,6,เมืองปทุมธานี,60,1,บ้านใหม่,,
976,ปทุมธานี,6,6,เมืองปทุมธานี,60,1,บางกะดี,,
977,ปทุมธานี,6,6,ลาดหลุมแก้ว,60,1,,,
978,ปทุมธานี,6,6,เมืองปทุมธานี,60,2,,บางปรอก,
979,ปทุมธานี,6,6,เมืองปทุมธานี,60,2,,บ้านฉาง,
980,ปทุมธานี,6,6,เมืองปทุมธานี,60,2,,บางขะแยง,
981,ปทุมธานี,6,6,เมืองปทุมธานี,60,2,,บางคูวัด,
982,ปทุมธานี,6,6,เมืองปทุมธานี,60,2,,บางหลวง,
983,ปทุมธานี,6,6,เมืองปทุมธานี,60,2,,บางเดื่อ,
984,ปทุมธานี,6,6,เมืองปทุมธานี,60,2,,บ้านใหม่,
985,ปทุมธานี,6,6,เมืองปทุมธานี,60,2,,บางกะดี,
986,ปทุมธานี,6,6,สามโคก,60,2,,,
987,ปทุมธานี,6,6,คลองหลวง,60,2,เทศบาลเมืองคลองหลวง,,
988,ปทุมธานี,6,6,คลองหลวง,60,3,เทศบาลเมืองท่าโขลง,,
989,ปทุมธานี,6,6,คลองหลวง,60,3,คลองสาม,,
990,ปทุมธานี,6,6,คลองหลวง,60,3,คลองสี่,,
991,ปทุมธานี,6,6,ธัญบุรี,60,4,ประชาธิปัตย์,,
992,ปทุมธานี,6,6,ลำลูกกา,60,4,คูคต,,
993,ปทุมธานี,6,6,ธัญบุรี,60,5,บึงยี่โถ,,
994,ปทุมธานี,6,6,ลำลูกกา,60,5,,คูคต,
995,ปทุมธานี,6,6,คลองหลวง,60,6,คลองห้า,,
996,ปทุมธานี,6,6,คลองหลวง,60,6,คลองหก,,
997,ปทุมธานี,6,6,คลองหลวง,60,6,คลองเจ็ด,,
998,ปทุมธานี,6,6,หนองเสือ,60,6,,,
999,ปทุมธานี,6,6,ธัญบุรี,60,6,รังสิต,,
1000,ปทุมธานี,6,6,ธัญบุรี,60,6,ลำผักกูด,,
1001,ปทุมธานี,6,6,ธัญบุรี,60,6,บึงสนั่น,,
1002,ปทุมธานี,6,6,ธัญบุรี,60,6,บึงน้ำรักษ์,,
1003,สกลนคร,6,6,เมืองสกลนคร,61,1,,,
1004,สกลนคร,6,6,กุสุมาลย์,61,2,,,
1005,สกลนคร,6,6,โพนนาแก้ว,61,2,,,
1006,สกลนคร,6,6,โคกศรีสุพรรณ,61,2,,,
1007,สกลนคร,6,6,เต่างอย,61,2,,,
1008,สกลนคร,6,6,ภูพาน,61,2,,,
1009,สกลนคร,6,6,พังโคน,61,3,,,
1010,สกลนคร,6,6,วาริชภูมิ,61,3,,,
1011,สกลนคร,6,6,ส่องดาว,61,3,,,
1012,สกลนคร,6,6,นิคมน้ำอูน,61,3,,,
1013,สกลนคร,6,6,กุดบาก,61,3,,,
1014,สกลนคร,6,6,สว่างแดนดิน,61,4,,,
1015,สกลนคร,6,6,เจริญศิลป์,61,4,,,
1016,สกลนคร,6,6,วานรนิวาส,61,5,,,
1017,สกลนคร,6,6,บ้านม่วง,61,5,,,
1018,สกลนคร,6,6,พรรณานิคม,61,6,,,
1019,สกลนคร,6,6,อากาศอำนวย,61,6,,,
1020,สกลนคร,6,6,คำตากล้า,61,6,,,
1021,สุราษฎร์ธานี,6,6,เมืองสุราษฎร์ธานี,62,1,,,
1022,สุราษฎร์ธานี,6,6,กาญจนดิษฐ์,62,2,,ทุ่งรัง,
1023,สุราษฎร์ธานี,6,6,กาญจนดิษฐ์,62,2,,ช้างซ้าย,
1024,สุราษฎร์ธานี,6,6,กาญจนดิษฐ์,62,2,,ช้างขวา,
1025,สุราษฎร์ธานี,6,6,กาญจนดิษฐ์,62,2,,ป่าร่อน,
1026,สุราษฎร์ธานี,6,6,กาญจนดิษฐ์,62,2,,คลองสระ,
1027,สุราษฎร์ธานี,6,6,ดอนสัก,62,2,,,
1028,สุราษฎร์ธานี,6,6,เกาะสมุย,62,2,,,
1029,สุราษฎร์ธานี,6,6,เกาะพะงัน,62,2,,,
1030,สุราษฎร์ธานี,6,6,กาญจนดิษฐ์,62,3,ทุ่งรัง,,
1031,สุราษฎร์ธานี,6,6,กาญจนดิษฐ์,62,3,ช้างซ้าย,,
1032,สุราษฎร์ธานี,6,6,กาญจนดิษฐ์,62,3,ช้างขวา,,
1033,สุราษฎร์ธานี,6,6,กาญจนดิษฐ์,62,3,ป่าร่อน,,
1034,สุราษฎร์ธานี,6,6,กาญจนดิษฐ์,62,3,คลองสระ,,
1035,สุราษฎร์ธานี,6,6,บ้านนาสาร,62,3,,,
1036,สุราษฎร์ธานี,6,6,เวียงสระ,62,3,,,
1037,สุราษฎร์ธานี,6,6,พุนพิน,62,4,,,
1038,สุราษฎร์ธานี,6,6,บ้านนาเดิม,62,4,,,
1039,สุราษฎร์ธานี,6,6,คีรีรัฐนิคม,62,4,,ท่าขนอน,
1040,สุราษฎร์ธานี,6,6,คีรีรัฐนิคม,62,4,,น้ำหัก,
1041,สุราษฎร์ธานี,6,6,คีรีรัฐนิคม,62,4,,บ้านยาง,
1042,สุราษฎร์ธานี,6,6,เคียนซา,62,4,,บ้านเสด็จ,
1043,สุราษฎร์ธานี,6,6,พระแสง,62,5,,,
1044,สุราษฎร์ธานี,6,6,ชัยบุรี,62,5,,,
1045,สุราษฎร์ธานี,6,6,พนม,62,5,,,
1046,สุราษฎร์ธานี,6,6,บ้านตาขุน,62,5,,,
1047,สุราษฎร์ธานี,6,6,เคียนซา,62,5,บ้านเสด็จ,,
1048,สุราษฎร์ธานี,6,6,ไชยา,62,6,,,
1049,สุราษฎร์ธานี,6,6,ท่าชนะ,62,6,,,
1050,สุราษฎร์ธานี,6,6,ท่าฉาง,62,6,,,
1051,สุราษฎร์ธานี,6,6,วิภาวดี,62,6,,,
1052,สุราษฎร์ธานี,6,6,คีรีรัฐนิคม,62,6,ท่าขนอน,,
1053,สุราษฎร์ธานี,6,6,คีรีรัฐนิคม,62,6,น้ำหัก,,
1054,สุราษฎร์ธานี,6,6,คีรีรัฐนิคม,62,6,บ้านยาง,,
1055,เชียงราย,7,7,เมืองเชียงราย,63,1,,ท่าสาย,
1056,เชียงราย,7,7,เมืองเชียงราย,63,1,,สันทราย,
1057,เชียงราย,7,7,เมืองเชียงราย,63,1,,ป่าอ้อดอนชัย,
1058,เชียงราย,7,7,เมืองเชียงราย,63,1,,ห้วยสัก,
1059,เชียงราย,7,7,เมืองเชียงราย,63,1,,ดอยลาน,
1060,เชียงราย,7,7,แม่ลาว,63,2,,,
1061,เชียงราย,7,7,แม่สรวย,63,2,,,
1062,เชียงราย,7,7,เวียงป่าเป้า,63,2,,,
1063,เชียงราย,7,7,พาน,63,3,,,
1064,เชียงราย,7,7,เมืองเชียงราย,63,3,ท่าสาย,,
1065,เชียงราย,7,7,เมืองเชียงราย,63,3,สันทราย,,
1066,เชียงราย,7,7,เมืองเชียงราย,63,3,ป่าอ้อดอนชัย,,
1067,เชียงราย,7,7,เมืองเชียงราย,63,3,ห้วยสัก,,
1068,เชียงราย,7,7,เมืองเชียงราย,63,3,ดอยลาน,,
1069,เชียงราย,7,7,เทิง,63,4,,,
1070,เชียงราย,7,7,ป่าแดด,63,4,,,
1071,เชียงราย,7,7,เวียงชัย,63,4,,,
1072,เชียงราย,7,7,เวียงเชียงรุ้ง,63,4,,,
1073,เชียงราย,7,7,เชียงของ,63,5,,,
1074,เชียงราย,7,7,เวียงแก่น,63,5,,,
1075,เชียงราย,7,7,ขุนตาล,63,5,,,
1076,เชียงราย,7,7,พญาเม็งราย,63,5,,,
1077,เชียงราย,7,7,เชียงแสน,63,5,แม่เงิน,,
1078,เชียงราย,7,7,แม่สาย,63,6,,,
1079,เชียงราย,7,7,เชียงแสน,63,6,,แม่เงิน,
1080,เชียงราย,7,7,ดอยหลวง,63,6,,,
1081,เชียงราย,7,7,แม่จัน,63,7,,,
1082,เชียงราย,7,7,แม่ฟ้าหลวง,63,7,,,
1083,ร้อยเอ็ด,7,7,เมืองร้อยเอ็ด,64,1,,,
1084,ร้อยเอ็ด,7,7,ศรีสมเด็จ,64,1,,,
1085,ร้อยเอ็ด,7,7,โพธิ์ชัย,64,2,,,
1086,ร้อยเอ็ด,7,7,จังหาร,64,2,,,
1087,ร้อยเอ็ด,7,7,เชียงขวัญ,64,2,,,
1088,ร้อยเอ็ด,7,7,ธวัชบุรี,64,2,ธวัชบุรี,,
1089,ร้อยเอ็ด,7,7,ธวัชบุรี,64,2,นิเวศน์,,
1090,ร้อยเอ็ด,7,7,ธวัชบุรี,64,2,หนองพอก,,
